GEO_ID,NAME,No Computer,No Computer_MOE,Internet Subscription,Internet Subscription_MOE,Internet (No Subscription),Internet (No Subscription)_MOE,No Internet access,No Internet access_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,97,147,283,102,25,23,149,161
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,72,108,158,87,0,13,72,108
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,39,34,405,96,15,23,154,160
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,69,58,292,101,0,13,143,86
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,44,41,283,107,43,37,50,45
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,11,17,590,214,29,45,11,17
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,92,94,726,179,69,50,132,94
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,19,29,436,155,0,13,206,242
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,70,54,828,161,8,13,47,45
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,0,13,129,76,0,13,42,49
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,55,56,734,242,20,35,81,62
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,22,33,326,74,5,9,36,36
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,0,13,239,90,66,52,0,13
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,65,44,341,130,10,16,79,43
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,18,11,407,125,5,9,35,22
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,4,8,316,74,5,8,4,8
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,43,56,351,123,0,13,101,72
