GEO_ID,NAME,"Less than $10,000","Less than $10,000_MOE","$10,000 to $14,999","$10,000 to $14,999_MOE","$15,000 to $19,999","$15,000 to $19,999_MOE","$20,000 to $24,999","$20,000 to $24,999_MOE","$25,000 to $29,999","$25,000 to $29,999_MOE","$30,000 to $34,999","$30,000 to $34,999_MOE","$35,000 to $39,999","$35,000 to $39,999_MOE","$40,000 to $44,999","$40,000 to $44,999_MOE","$45,000 to $49,999","$45,000 to $49,999_MOE","$50,000 to $59,999","$50,000 to $59,999_MOE","$60,000 to $74,999","$60,000 to $74,999_MOE","$75,000 to $99,999","$75,000 to $99,999_MOE","$100,000 to $124,999","$100,000 to $124,999_MOE","$125,000 to $149,999","$125,000 to $149,999_MOE","$150,000 to $199,999","$150,000 to $199,999_MOE","$200,000 or more","$200,000 or more_MOE"
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,51,46,34,42,44,38,23,34,57,52,21,36,11,18,0,13,18,22,116,160,33,34,44,42,5,17,0,13,0,13,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,122,118,19,28,0,13,14,21,0,13,24,21,31,44,0,13,0,13,0,13,6,10,0,13,14,17,0,13,0,13,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,34,36,178,172,51,43,28,31,0,13,65,52,12,17,0,13,40,33,48,39,35,44,3,5,50,40,25,21,5,7,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,0,13,0,13,37,33,78,63,64,67,10,16,55,39,4,8,11,19,95,65,21,23,47,51,0,13,13,23,0,13,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,35,31,15,23,35,45,0,13,32,35,49,49,7,11,14,24,0,13,15,19,57,64,14,22,46,35,17,21,40,40,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,149,134,25,29,23,31,49,62,27,31,42,54,45,55,77,70,11,22,69,56,39,39,41,45,10,16,0,13,9,15,14,22
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,61,61,145,144,95,97,34,35,5,8,101,84,103,78,31,35,90,78,65,66,29,37,100,84,22,32,16,25,14,21,16,28
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,42,64,38,57,183,232,34,37,0,13,87,98,6,10,47,47,0,13,27,35,137,103,41,41,0,13,0,13,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,53,63,24,24,49,40,65,65,12,20,10,17,135,111,8,13,19,30,119,84,112,101,151,96,71,54,25,24,20,25,10,16
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,0,13,0,13,0,13,0,13,22,39,0,13,0,13,0,13,33,47,33,45,49,50,22,27,0,13,0,13,0,13,12,22
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,15,23,0,13,0,13,0,13,13,20,21,25,50,43,62,68,10,18,94,69,60,57,190,202,79,70,75,57,143,79,23,25
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,7,11,48,39,15,17,17,18,17,28,7,11,7,11,59,47,26,40,35,25,30,23,35,26,17,18,15,15,22,22,10,11
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,28,46,11,12,0,13,18,23,40,40,7,10,32,39,0,13,9,15,9,14,2,4,44,22,24,29,33,53,39,34,9,14
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,33,28,14,15,46,50,7,11,36,44,13,14,24,20,38,38,42,42,0,13,94,93,46,35,26,19,5,11,4,7,2,6
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,23,24,5,7,8,14,5,9,31,24,4,6,11,12,87,68,56,53,142,111,13,15,8,11,27,32,15,16,0,13,12,18
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,51,60,6,14,2,4,5,8,43,42,10,16,25,23,0,13,23,19,15,14,33,34,37,24,56,35,12,15,0,13,7,11
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,0,13,0,13,8,13,52,45,67,66,16,17,77,92,43,57,30,31,45,32,10,15,42,30,18,25,15,19,0,13,29,30
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,5,7,11,17,0,13,30,37,20,24,7,10,4,6,8,9,25,24,33,39,73,83,33,31,5,8,49,38,0,13,8,12
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,31,35,0,13,7,8,0,13,0,13,0,13,26,29,0,13,0,13,46,49,21,23,40,42,17,21,62,48,0,13,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,8,11,30,25,31,38,34,32,0,13,38,53,12,14,9,12,5,9,15,17,19,17,91,70,43,40,11,13,26,17,40,41
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,28,24,9,11,24,18,52,50,29,34,0,13,11,18,22,21,0,13,11,13,37,36,49,29,31,40,24,38,17,20,17,17
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,49,59,102,66,99,90,75,78,42,45,0,13,29,41,0,13,8,15,0,13,23,27,62,81,0,13,0,13,0,13,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,11,18,0,13,29,45,0,13,0,13,0,13,12,20,7,17,25,39,34,37,8,14,57,53,32,39,15,26,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,17,29,6,11,39,64,18,23,41,48,42,50,10,16,9,19,13,14,32,41,102,109,51,59,95,65,36,56,16,23,13,23
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,67,57,16,24,0,13,61,87,0,13,19,23,29,37,0,13,24,23,27,36,102,63,119,78,26,46,0,13,69,66,15,22
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,61,46,59,39,54,47,99,67,7,11,92,108,60,61,121,117,36,34,12,21,32,30,47,52,10,19,85,138,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,23,38,0,13,0,13,69,78,35,55,111,134,0,13,76,89,57,52,30,39,117,94,0,13,21,35
