GEO_ID,NAME,Median household income (past 12 months),Median household income (past 12 months)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,34821,31034
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,N/A,N/A
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,24000,19610
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,38423,12712
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,50167,33339
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,35000,14094
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,35654,4373
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,31500,20078
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,52277,13191
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,54750,28984
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,76765,11658
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,45625,7516
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,N/A,N/A
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,45263,4189
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,47335,10747
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,47228,30935
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,40349,3838
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,62792,13479
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,63333,49219
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,75833,24291
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,51719,46633
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,19775,5373
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,59722,42836
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,71236,9747
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,61719,10797
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,35994,12049
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,63625,28790
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,108196,28056
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,93314,21040
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,106992,17595
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,74375,27176
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,58958,24163
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,104155,35610
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,54246,15939
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,35423,29122
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,N/A,N/A
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,19922,9751
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,41496,9079
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,38833,19989
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,24858,11367
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,41138,6593
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,107250,23469
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,49076,45410
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,79286,15236
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,32297,30527
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,32289,31953
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,81373,15961
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,46375,15487
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,79281,48023
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,35104,6059
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,63317,34514
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,182656,54750
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,177596,61083
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,180268,40681
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,122727,42444
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,130750,93065
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,110385,62281
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,192652,77413
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,154028,38342
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,110956,42036
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,157222,17965
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,116523,35500
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,122609,38511
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,11228,6733
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,30313,23520
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,23742,1565
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,29208,7963
