GEO_ID,NAME,White,White_MOE,African American,African American_MOE,American Indian / Alaska Native,American Indian / Alaska Native_MOE,Asian,Asian_MOE,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,151,114,1161,610,5,9,0,13,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,1649,478,1858,478,16,40,46,63,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,417,140,842,393,6,12,0,13,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,397,190,568,284,0,13,0,13,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,224,207,801,402,0,13,0,13,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,82,77,1441,570,29,45,0,13,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,159,111,2556,1053,0,13,0,13,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,77,97,1136,444,0,13,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,214,138,1933,608,0,13,0,13,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,144,206,473,283,0,13,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,706,599,1560,469,0,13,15,23,0,13
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,179,90,971,312,6,10,12,25,56,44
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,83,51,1006,582,0,13,0,13,0,13
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,82,63,715,281,0,13,0,13,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,35,27,706,276,3,6,0,13,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,51,36,497,176,0,13,91,69,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,171,111,873,497,15,19,0,13,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,324,185,344,243,0,13,24,24,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,648,304,260,188,0,13,0,13,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,504,418,642,195,0,13,4,8,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,326,109,542,242,0,13,6,9,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,288,241,950,320,0,13,0,13,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,50,53,512,303,0,13,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,262,140,892,346,0,13,0,13,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,250,178,1180,309,0,13,0,13,0,13
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,358,118,1021,447,0,13,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,821,266,0,13,0,13,20,32,0,13
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,913,446,61,148,0,13,43,67,0,13
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,907,567,69,113,0,13,26,48,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,1083,442,212,216,8,13,0,13,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1484,497,16,23,0,13,0,13,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,745,217,0,13,4,9,0,13,0,13
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1335,303,43,49,6,9,5,8,0,13
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,1281,343,15,24,0,13,0,13,0,13
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,366,316,910,507,293,256,0,13,0,13
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,0,13,546,271,0,13,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,31,31,1269,512,0,13,0,13,10,15
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,435,169,806,535,0,13,67,56,0,13
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,206,95,1258,411,0,13,23,34,0,13
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,193,193,558,332,0,13,0,13,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,482,155,1639,397,15,15,34,36,0,13
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2122,325,163,93,0,13,143,139,0,13
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,908,306,926,556,0,13,79,98,0,13
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,476,171,214,130,13,22,42,48,0,13
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,436,264,268,225,0,13,217,170,6,12
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,701,263,305,256,0,13,31,48,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,1102,365,115,185,0,13,0,13,0,13
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,315,123,1273,560,0,13,0,13,0,13
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,775,356,397,270,0,13,55,45,10,27
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,1532,534,609,316,0,13,17,24,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,354,158,184,162,0,13,0,13,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,784,196,0,13,0,13,0,13,0,13
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,967,191,60,88,23,28,0,13,0,13
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,1647,298,18,29,0,13,27,31,4,8
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,832,330,0,13,0,13,0,13,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,914,287,0,13,0,13,0,13,0,13
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,945,268,1,4,0,13,0,13,0,13
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,1162,340,11,16,5,11,82,70,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,1011,241,0,13,0,13,32,42,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,1765,262,174,143,11,25,10,16,9,13
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,2015,199,78,107,0,13,32,18,0,13
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,615,206,0,13,0,13,0,13,0,13
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,1362,501,0,13,7,11,71,64,0,13
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,161,107,231,152,0,13,0,13,0,13
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,272,157,283,185,0,13,0,13,0,13
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,344,141,610,472,0,13,13,21,0,13
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,838,228,339,192,0,13,5,8,0,13
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,304,107,139,99,0,13,0,13,0,13
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,697,446,100,112,0,13,0,13,0,13
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,624,275,646,325,0,13,0,13,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,909,789,17,29,0,13,0,13,0,13
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,636,328,611,328,0,13,68,70,0,13
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,232,249,70,120,0,13,1,2,0,13
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,444,258,616,400,0,13,0,13,32,52
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,307,222,365,304,0,13,0,13,0,13
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,595,307,402,526,0,13,0,13,29,44
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,324,140,435,201,0,13,0,13,0,13
