GEO_ID,NAME,Total Buildings,Total Buildings_MOE,Built 2020 or later,Built 2020 or later_MOE,Built 2010 to 2019,Built 2010 to 2019_MOE,Built 2000 to 2009,Built 2000 to 2009_MOE,Built 1990 to 1999,Built 1990 to 1999_MOE,Built 1980 to 1989,Built 1980 to 1989_MOE,Built 1970 to 1979,Built 1970 to 1979_MOE,Built 1960 to 1969,Built 1960 to 1969_MOE,Built 1950 to 1959,Built 1950 to 1959_MOE,Built 1940 to 1949,Built 1940 to 1949_MOE,Built 1939 or earlier,Built 1939 or earlier_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,492,197,0,13,57,65,90,70,95,154,4,14,32,31,70,50,109,51,0,13,35,37
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,364,118,0,13,196,104,28,34,36,43,79,89,6,10,0,13,10,12,0,13,9,15
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,745,207,0,13,5,7,17,32,28,30,0,13,77,65,427,200,191,90,0,13,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,505,115,0,13,0,13,0,13,13,22,0,13,78,63,303,102,111,58,0,13,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,419,109,0,13,0,13,0,13,0,13,28,32,64,52,246,84,81,72,0,13,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,710,205,0,13,0,13,38,35,35,40,55,55,259,177,164,81,130,84,0,13,29,45
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,990,179,28,24,0,13,49,76,51,79,19,26,154,135,674,158,0,13,0,13,15,25
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,701,279,0,13,0,13,0,13,134,78,79,61,119,86,282,261,47,59,40,59,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,974,157,18,29,0,13,33,52,288,161,183,85,192,88,240,95,19,30,1,3,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,252,120,0,13,0,13,33,47,0,13,66,68,24,31,98,83,31,38,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,918,239,0,13,27,45,90,75,94,63,224,215,92,68,340,106,20,32,7,12,24,39
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,367,75,0,13,9,15,33,29,0,13,37,27,58,45,128,47,60,40,9,13,33,24
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,385,90,0,13,9,14,0,13,0,13,9,14,135,88,167,56,42,42,9,13,14,15
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,455,144,0,13,0,13,0,13,21,25,6,10,183,89,211,104,34,31,0,13,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,514,110,0,13,0,13,0,13,0,13,22,25,127,56,256,113,103,61,6,9,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,346,83,0,13,4,8,0,13,10,16,45,27,97,72,186,66,4,8,0,13,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,496,126,0,13,0,13,43,56,32,43,50,57,87,91,241,64,22,34,21,22,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,338,88,0,13,0,13,0,13,0,13,69,59,60,49,121,46,49,30,0,13,39,71
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,286,59,0,13,0,13,0,13,0,13,0,13,5,10,257,59,24,27,0,13,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,480,114,0,13,0,13,0,13,65,70,0,13,21,16,342,100,52,31,0,13,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,376,81,0,13,33,36,4,8,0,13,29,39,68,53,159,63,76,45,7,11,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,638,133,0,13,0,13,35,58,18,31,234,107,91,77,260,100,0,13,0,13,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,239,102,0,13,0,13,0,13,0,13,34,46,34,40,146,75,25,39,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,589,168,0,13,0,13,0,13,30,37,39,57,21,26,447,163,52,55,0,13,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,645,146,0,13,12,18,6,11,242,129,77,68,52,49,210,95,22,21,0,13,24,40
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,947,208,0,13,23,28,150,79,101,52,97,99,282,111,266,178,28,25,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,559,175,0,13,14,24,43,42,89,62,20,32,218,136,74,50,101,132,0,13,0,13
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,628,201,0,13,0,13,0,13,0,13,165,98,98,92,228,109,105,121,23,37,9,23
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,442,181,0,13,0,13,0,13,0,13,14,24,0,13,334,169,45,50,0,13,49,62
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,616,180,0,13,50,49,158,102,313,160,35,57,0,13,21,46,39,54,0,13,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,879,276,10,16,15,21,38,32,152,92,134,84,311,281,150,66,36,26,23,25,10,17
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,460,102,9,14,0,13,0,13,0,13,32,33,47,29,50,30,322,93,0,13,0,13
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,988,191,7,10,56,40,0,13,64,38,47,42,0,13,178,102,175,73,120,60,341,120
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,968,199,38,47,81,66,50,56,24,27,83,80,92,75,67,65,118,76,125,112,290,110
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,642,272,0,13,66,61,0,13,104,69,0,13,229,265,89,55,97,73,0,13,57,67
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,263,123,0,13,0,13,34,54,16,26,0,13,18,29,34,36,104,99,44,64,13,27
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,593,179,0,13,0,13,0,13,76,70,13,25,26,41,225,126,172,91,63,70,18,26
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,943,232,0,13,89,74,73,95,243,218,229,109,170,88,131,84,8,15,0,13,0,13
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,692,163,15,23,30,38,29,44,142,106,74,70,280,147,91,67,18,32,13,20,0,13
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,699,277,0,13,47,71,22,37,186,183,26,32,166,129,139,75,113,113,0,13,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1210,168,0,13,0,13,36,32,165,112,270,129,106,49,363,150,261,83,0,13,9,17
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,1360,178,58,40,564,160,325,79,332,102,33,29,19,24,0,13,6,9,23,27,0,13
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,971,211,0,13,231,156,281,132,168,123,195,114,96,145,0,13,0,13,0,13,0,13
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,719,161,188,107,311,141,50,46,81,67,56,70,33,37,0,13,0,13,0,13,0,13
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,524,238,0,13,12,19,7,12,9,23,0,13,142,123,305,165,49,76,0,13,0,13
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,756,214,0,13,133,118,0,13,0,13,234,116,215,167,174,126,0,13,0,13,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,767,176,0,13,32,36,0,13,18,33,135,99,32,38,477,145,73,73,0,13,0,13
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1139,300,0,13,0,13,32,40,180,118,309,127,315,266,192,120,103,64,0,13,8,13
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,241,86,0,13,0,13,0,13,42,49,23,27,65,57,77,35,23,25,11,17,0,13
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,327,150,0,13,0,13,0,13,12,21,9,15,93,116,57,37,156,99,0,13,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,384,121,0,13,0,13,10,16,0,13,0,13,83,92,229,94,62,44,0,13,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,390,81,25,40,58,46,6,10,14,14,24,27,29,17,72,40,67,38,46,22,49,25
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,563,100,0,13,27,24,13,13,6,11,52,63,56,41,164,49,164,65,77,42,4,6
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,705,103,0,13,29,27,16,20,30,25,45,32,54,37,309,104,212,72,10,16,0,13
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,415,141,0,13,0,13,0,13,0,13,0,13,11,19,271,128,133,69,0,13,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,452,110,0,13,28,22,9,15,43,36,44,49,13,17,71,47,202,106,17,19,25,34
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,591,133,20,33,50,65,0,13,42,32,84,60,87,76,84,57,81,58,50,58,93,96
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,565,185,0,13,38,47,51,35,33,21,249,167,115,61,74,49,5,18,0,13,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,482,110,0,13,0,13,8,13,14,21,100,71,159,73,168,81,9,15,24,28,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,1211,101,20,22,348,89,305,83,162,69,37,25,79,45,194,95,50,44,0,13,16,24
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,930,83,0,13,27,29,116,49,111,65,81,36,192,61,272,54,110,50,6,9,15,16
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,374,85,0,13,36,45,9,15,12,18,10,17,0,13,52,50,144,68,79,51,32,44
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,746,176,0,13,165,144,0,13,37,36,7,12,54,47,176,60,90,47,205,87,12,18
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,294,132,0,13,0,13,0,13,0,13,0,13,84,105,127,88,59,50,10,19,14,23
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,635,140,0,13,94,80,23,36,0,13,2,3,108,77,186,111,86,66,98,91,38,46
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,668,255,0,13,0,13,47,54,175,224,85,65,71,72,81,48,156,84,53,66,0,13
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,607,134,15,23,37,47,65,67,108,71,96,108,123,66,46,42,117,60,0,13,0,13
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,289,88,0,13,22,33,34,43,0,13,13,20,50,66,11,13,55,51,97,57,7,9
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,496,187,0,13,0,13,88,134,0,13,26,32,0,13,107,102,211,120,0,13,64,99
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,724,298,0,13,0,13,0,13,133,196,198,139,0,13,316,155,77,52,0,13,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,510,273,0,13,0,13,0,13,16,27,0,13,0,13,272,264,71,62,53,62,98,64
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,983,285,0,13,51,74,37,64,0,13,173,171,123,137,220,131,233,122,131,150,15,24
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,412,263,0,13,0,13,0,13,0,13,334,247,45,74,33,53,0,13,0,13,0,13
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,608,229,0,13,101,96,0,13,0,13,206,139,61,61,207,115,0,13,0,13,33,47
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,848,325,0,13,0,13,0,13,0,13,260,173,101,94,409,287,77,91,1,2,0,13
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,650,266,19,43,0,13,0,13,63,76,102,148,111,110,185,129,147,108,0,13,23,36
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,752,177,0,13,54,49,49,72,41,45,104,76,202,107,158,85,144,115,0,13,0,13
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,353,136,0,13,37,61,13,20,70,67,183,92,44,32,0,13,6,12,0,13,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,577,196,0,13,39,44,0,13,39,59,99,79,275,168,84,65,41,65,0,13,0,13
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,238,98,0,13,0,13,0,13,44,54,47,74,5,29,120,60,13,31,9,15,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,705,207,0,13,47,65,33,42,115,127,281,134,101,95,128,96,0,13,0,13,0,13
