GEO_ID,NAME,Median value ($),Median value ($)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,130700,40275
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,309100,61427
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,96900,17665
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,112600,10659
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,121400,30065
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,68100,33470
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,86100,14468
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,112600,40881
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,182300,53046
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,167300,95067
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,188000,10119
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,113100,13541
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,113900,4453
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,114500,5737
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,88800,27922
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,122200,19182
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,154100,58692
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,124000,52171
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,107300,19119
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,105800,23337
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,117300,22318
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,127200,89822
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,119600,46817
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,123700,17562
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,159200,7773
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,110000,51492
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,188800,73654
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,248600,102126
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,198000,37138
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,221200,60443
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,298900,54371
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,164600,25937
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,354300,42797
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,200000,47311
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,84100,3599
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,-666666666,-222222222
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,-666666666,-222222222
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,-666666666,-222222222
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,128800,15617
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,-666666666,-222222222
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,118400,11048
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,305200,55793
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,219000,16360
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,292000,36319
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,145600,25156
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,185400,18546
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,194700,21154
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,164900,51396
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,161300,131100
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,78500,19606
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,142900,31667
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,469600,77306
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,428700,52355
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,532600,73396
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,423100,37039
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,419400,169503
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,408100,158964
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,537500,163287
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,462100,38477
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,661600,175591
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,457700,24955
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,316700,71210
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,383500,60632
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,-666666666,-222222222
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,148900,31856
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,74200,21796
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,-666666666,-222222222
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,126500,61006
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,-666666666,-222222222
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,-666666666,-222222222
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,95300,9625
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,124000,43394
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,-666666666,-222222222
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,156000,81402
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,123100,121562
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,98600,82544
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,-666666666,-222222222
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,-666666666,-222222222
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,76000,29847
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,83500,51648
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,-666666666,-222222222
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,104700,38627
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,288100,197193
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,383300,91915
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,275500,37470
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,285100,39405
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,262700,74386
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,337000,23548
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,293800,31969
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,354300,18948
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,304200,75394
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,275400,36958
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,237800,22963
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,167600,60586
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,306100,50671
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,231000,27247
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,205000,37271
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,279400,13616
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,284000,30449
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,221700,27114
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,210900,23473
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,286600,33100
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,252900,32166
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,202500,43442
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,305100,37737
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,238500,19594
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,192700,19300
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,298500,232507
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,232600,42812
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,-666666666,-222222222
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,271100,56721
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,207500,153242
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,131900,63768
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,849000,431339
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,572500,91789
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,1189000,206572
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,142900,54405
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,283700,268865
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,145600,92806
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,332100,75797
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,227000,19223
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,288000,68737
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,273200,27911
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,180100,80399
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,174900,44382
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,211400,40120
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,245800,47262
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,155400,144982
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,245900,123222
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,204200,83428
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,186700,27810
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,139600,29826
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,161200,33536
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,183400,16115
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,97400,16815
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,175000,25861
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,284500,74812
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,176000,38248
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,213000,89893
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,209300,43601
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,184400,21371
