GEO_ID,NAME,"Less than $10,000","Less than $10,000_MOE","$10,000 to $14,999","$10,000 to $14,999_MOE","$15,000 to $19,999","$15,000 to $19,999_MOE","$20,000 to $24,999","$20,000 to $24,999_MOE","$25,000 to $29,999","$25,000 to $29,999_MOE","$30,000 to $34,999","$30,000 to $34,999_MOE","$35,000 to $39,999","$35,000 to $39,999_MOE","$40,000 to $49,999","$40,000 to $49,999_MOE","$50,000 to $59,999","$50,000 to $59,999_MOE","$60,000 to $69,999","$60,000 to $69,999_MOE","$70,000 to $79,999","$70,000 to $79,999_MOE","$80,000 to $89,999","$80,000 to $89,999_MOE","$90,000 to $99,999","$90,000 to $99,999_MOE","$100,000 to $124,999","$100,000 to $124,999_MOE","$125,000 to $149,999","$125,000 to $149,999_MOE","$150,000 to $174,999","$150,000 to $174,999_MOE","$175,000 to $199,999","$175,000 to $199,999_MOE","$200,000 to $249,999","$200,000 to $249,999_MOE","$250,000 to $299,999","$250,000 to $299,999_MOE","$300,000 to $399,999","$300,000 to $399,999_MOE","$400,000 to $499,999","$400,000 to $499,999_MOE","$500,000 to $749,999","$500,000 to $749,999_MOE","$750,000 to $999,999","$750,000 to $999,999_MOE","$1,000,000 to $1,499,999","$1,000,000 to $1,499,999_MOE","$1,500,000 to $1,999,999","$1,500,000 to $1,999,999_MOE","$2,000,000 or more","$2,000,000 or more_MOE"
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,10,24,31,6,10,8,12,33,50,0,13,10,16,3,10,0,13,0,13,0,13,8,12,0,13,0,13,0,13,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,15,11,12,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,22,24,0,13,55,48,19,27,36,35,38,33,5,7,9,14,0,13,58,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,8,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,8,0,13,32,38,22,26,29,42,99,58,11,19,85,48,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,26,25,0,13,0,13,65,47,8,13,31,29,52,38,30,35,0,13,11,18,0,13,0,13,0,13,19,31,14,23,0,13,0,13,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,14,23,0,13,0,13,0,13,0,13,20,31,0,13,42,34,0,13,54,60,7,13,0,13,25,29,26,29,19,22,9,15,0,13,0,13,0,13,24,28,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,51,79,0,13,0,13,0,13,0,13,0,13,49,76,0,13,0,13,124,91,113,110,74,73,96,70,87,67,0,13,15,24,92,121,63,52,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,10,23,30,74,78,95,79,0,13,0,13,0,13,74,58,30,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,12,19,11,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,20,41,54,87,50,93,58,32,35,36,39,144,84,0,13,122,79,0,13,0,13,0,13,0,13,10,16,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,8,14,0,13,0,13,0,13,0,13,16,25,0,13,0,13,0,13,0,13,22,39,0,13,25,42,0,13,0,13,21,34,33,47,12,22,7,11,6,11,0,13,21,33,0,13,0,13,0,13,0,13
