GEO_ID,NAME,Family,Family_MOE,Family (2-person),Family (2-person)_MOE,Family (3-person),Family (3-person)_MOE,Family (4-person),Family (4-person)_MOE,Family (5-person),Family (5-person)_MOE,Family (6-person),Family (6-person)_MOE,Family (7-person or more),Family (7-person or more)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,346,195,104,70,148,174,49,44,26,29,4,14,15,23
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,75,43,51,37,9,15,15,23,0,13,0,13,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,398,194,149,73,227,185,22,29,0,13,0,13,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,311,98,190,91,61,71,47,53,0,13,13,23,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,217,99,37,39,79,58,52,64,0,13,0,13,49,43
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,417,200,123,81,161,98,116,118,17,27,0,13,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,620,186,187,81,138,137,102,74,146,149,47,70,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,327,141,156,84,86,75,63,89,22,34,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,603,156,194,88,288,152,8,17,77,91,8,18,28,37
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,125,68,28,39,29,36,7,11,49,43,0,13,12,22
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,577,237,165,82,209,208,147,80,11,18,45,45,0,13
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,285,66,93,39,40,25,42,30,67,51,16,19,27,30
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,212,91,57,40,43,32,79,61,0,13,0,13,33,53
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,217,101,138,93,37,31,42,47,0,13,0,13,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,230,84,98,71,96,58,36,42,0,13,0,13,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,170,59,87,52,17,15,28,19,31,26,0,13,7,11
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,210,102,50,29,123,93,10,12,20,21,7,14,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,151,85,30,19,79,76,17,19,25,38,0,13,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,199,48,97,46,16,25,37,45,0,13,49,39,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,256,77,83,40,92,53,16,16,65,68,0,13,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,195,66,104,59,41,26,33,32,17,15,0,13,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,287,112,80,64,59,81,117,69,31,48,0,13,0,13
