GEO_ID,NAME,Married,Married_MOE,Married (Children under 18),Married (Children under 18)_MOE,Married (No children under 18),Married (No children under 18)_MOE,Female (No spouse/partner present),Female (No spouse/partner present)_MOE,Female (Living alone),Female (Living alone)_MOE,"Female (No spouse/partner present, children under 18)","Female (No spouse/partner present, children under 18)_MOE",Male (No spouse/partner present),Male (No spouse/partner present)_MOE,Male (Living alone),Male (Living alone)_MOE,"Male (No spouse/partner present, children under 18)","Male (No spouse/partner present, children under 18)_MOE"
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,143,160,30,33,113,158,194,91,48,37,90,68,79,61,43,42,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,35,29,15,23,20,14,131,118,19,28,40,39,64,79,64,79,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,104,51,18,27,86,47,310,194,89,51,160,178,133,65,10,16,73,63
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,147,69,15,24,132,67,164,78,23,28,37,60,122,78,101,75,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,138,83,71,67,67,47,174,78,69,39,45,52,59,45,43,36,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,81,61,9,14,72,59,371,183,122,87,147,132,135,93,64,69,25,46
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,295,142,85,88,210,112,370,149,114,95,71,72,183,97,149,97,34,53
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,92,64,9,11,83,63,447,269,221,229,146,108,103,80,86,76,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,377,149,29,33,348,156,385,127,169,75,138,107,121,78,111,77,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,49,38,12,22,37,32,55,64,0,13,33,47,67,65,46,54,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,429,224,43,42,386,217,231,100,142,87,0,13,92,62,92,62,0,13
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,118,41,22,20,96,37,200,69,69,43,74,57,26,17,13,15,0,13
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,142,80,25,39,117,71,102,66,64,51,31,38,36,34,21,22,15,26
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,93,83,14,21,79,91,211,83,136,62,30,43,108,61,59,52,18,27
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,103,42,55,41,48,35,156,69,65,36,5,7,183,109,85,65,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,95,35,29,24,66,30,176,72,106,62,55,47,54,42,36,38,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,80,45,33,30,47,33,239,116,114,73,19,25,133,81,120,78,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,90,46,56,39,34,20,57,39,57,39,0,13,155,102,103,69,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,56,38,0,13,56,38,135,45,12,10,38,35,59,43,39,36,13,26
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,163,77,26,27,137,76,180,71,124,61,15,15,66,46,20,21,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,98,48,11,13,87,45,110,60,36,30,14,16,75,40,68,40,7,10
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,33,36,0,13,33,36,381,122,139,99,152,92,75,63,63,61,12,21
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,142,82,63,54,79,64,67,55,49,50,0,13,21,25,21,25,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,151,90,16,22,135,90,261,115,109,97,56,68,31,37,15,28,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,214,76,22,36,192,70,194,75,58,47,0,13,130,105,130,105,0,13
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,0,13,0,13,0,13,387,116,309,95,42,40,289,176,125,69,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,207,102,0,13,207,102,138,146,116,138,0,13,128,104,93,101,0,13
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,229,113,70,90,159,79,85,71,24,38,11,24,147,111,85,87,0,13
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,117,131,23,41,94,123,253,142,130,102,0,13,72,58,50,47,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,249,119,135,90,114,76,168,94,142,94,26,44,100,89,100,89,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,416,249,40,29,376,252,158,71,68,43,30,43,238,105,161,91,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,156,71,80,61,76,34,157,65,132,60,0,13,138,54,109,48,7,11
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,242,77,73,42,169,71,300,104,263,102,12,20,212,95,182,86,30,35
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,283,109,103,84,180,98,260,135,235,129,0,13,263,103,249,100,0,13
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,124,99,83,92,41,45,305,264,273,266,23,34,189,107,39,40,29,46
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,4,6,4,6,0,13,212,119,34,36,178,116,18,29,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,79,75,39,50,40,53,334,147,66,63,250,154,123,91,66,54,0,13
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,71,90,15,24,56,88,269,134,177,87,0,13,434,213,273,104,8,15
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,151,106,94,103,57,38,350,123,197,109,85,89,129,79,50,46,0,13
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,100,125,12,18,88,122,90,74,29,35,61,65,188,127,188,127,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,281,87,111,66,170,55,572,195,359,163,57,60,188,72,116,51,0,13
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,686,137,326,135,360,56,332,118,267,107,39,31,204,60,179,54,0,13
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,228,195,0,13,228,195,184,128,14,26,36,49,282,144,183,102,0,13
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,113,74,29,33,84,67,259,126,215,116,0,13,205,97,186,95,0,13
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,82,48,33,43,49,35,246,199,167,159,0,13,186,125,159,122,6,17
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,59,44,0,13,59,44,258,166,241,166,0,13,379,155,189,107,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,317,140,107,97,210,107,186,105,141,82,0,13,123,81,60,46,0,13
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,149,111,32,38,117,103,262,116,170,78,92,70,451,160,331,123,0,13
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,51,43,1,12,50,40,21,23,10,17,0,13,79,52,0,13,0,13
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,143,120,123,116,20,25,25,26,18,21,0,13,151,100,132,100,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,160,80,26,28,134,81,25,26,20,23,0,13,81,76,81,76,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,192,53,90,39,102,39,97,42,92,43,0,13,54,38,41,36,0,13
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,321,83,159,51,162,76,69,32,67,32,0,13,95,53,70,50,0,13
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,448,82,200,64,248,75,128,71,49,35,28,27,67,42,35,25,27,33
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,207,66,106,59,101,45,141,105,42,37,82,96,23,21,23,21,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,257,109,74,43,183,101,147,76,98,55,0,13,31,23,31,23,0,13
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,193,96,43,36,150,90,171,114,124,109,29,34,75,59,39,37,23,36
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,403,95,154,64,249,72,143,161,133,160,10,17,12,19,12,19,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,301,84,92,61,209,67,49,39,26,28,0,13,76,48,56,43,0,13
