GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,31.5,5.7,31.5,7.1,33.8,18.7
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,19.8,0.2,19.8,0.3,19.9,0.3
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,34.2,2.2,32.7,5.4,34.4,1.7
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,48.5,12.1,48.7,17.2,46.7,15.3
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,34.2,8.1,32,9.5,35.6,13.8
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,29.3,4.5,22.4,4.2,37.4,8.6
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,26,10.8,36.2,23.2,25.7,5.2
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,41.6,12.4,22.5,27.9,42.8,16.1
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,40.8,16.7,47.7,16.9,34,20
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,25.1,13.2,20.8,12.1,34.7,15.8
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,48.7,9.3,44.1,19.7,50.4,5.8
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,17.9,13.3,15.7,14,24.2,18.5
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,23.9,12.6,23,8.9,25.7,29.5
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,63,11.6,56.1,17.9,67.1,10.8
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,39,7.6,30.8,10.2,44.7,13.6
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,28,8.4,25.9,17.2,28.7,9.8
