GEO_ID,NAME,No Health Insurance,No Health Insurance (Under 19),No Health Insurance (Under 19)_MOE,No Health Insurance (19-34),No Health Insurance (19-34)_MOE,No Health Insurance (35-64),No Health Insurance (35-64)_MOE,No Health Insurance (65+),No Health Insurance (65+)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,441,19,33,245,250,177,140,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,430,81,84,349,161,0,13,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,331,0,13,188,186,143,86,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,194,0,13,51,61,143,76,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,284,137,97,0,13,147,133,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,284,22,37,179,184,83,79,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,545,17,27,403,358,125,102,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,100,0,13,42,43,58,69,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,353,106,98,42,48,205,125,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,117,0,13,90,84,27,37,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,112,0,13,90,82,22,37,0,13
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,136,1,3,75,61,60,31,0,13
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,52,0,13,10,14,42,57,0,13
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,102,0,13,14,22,88,87,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,324,10,15,167,214,147,85,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,75,0,13,69,39,6,9,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,137,0,13,100,82,37,31,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,196,0,13,123,155,73,56,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,133,0,13,0,13,133,84,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,194,0,13,89,84,105,97,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,117,24,34,56,37,37,35,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,257,0,13,149,217,108,89,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,32,0,13,0,13,32,42,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,57,0,13,41,68,16,22,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,130,0,13,0,13,115,85,15,25
