GEO_ID,NAME,18-29,18-29_MOE,30-44,30-44_MOE,45-64,45-64_MOE,65+,65+_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,210,107,340,273,325,278,85,45
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,3273,435,80,62,28,31,56,34
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,132,100,406,209,257,97,110,47
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,44,41,159,96,253,112,307,91
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,159,98,298,186,215,85,156,93
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,460,224,374,234,253,112,158,72
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,635,528,489,191,615,274,283,126
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,73,99,289,127,317,253,197,117
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,348,148,172,127,498,190,518,260
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,137,104,115,86,134,82,51,41
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,337,182,361,142,662,214,575,234
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,127,80,149,66,219,71,168,61
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,284,228,183,119,211,117,97,55
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,67,60,62,57,212,87,362,246
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,181,140,333,148,116,67,152,56
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,215,111,84,58,130,47,115,44
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,256,160,91,45,236,100,198,94
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,148,129,182,104,201,132,98,39
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,57,51,61,56,184,83,44,29
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,203,116,212,198,334,173,267,93
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,174,101,155,78,258,86,150,63
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,180,108,248,131,249,177,164,104
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,16,27,101,90,159,102,99,86
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,318,140,131,100,295,147,261,184
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,248,115,220,103,573,158,358,106
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,210,156,155,145,253,210,607,212
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,157,155,62,71,368,176,332,196
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,130,118,166,124,135,114,442,166
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,258,250,204,139,243,162,227,212
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,129,110,404,163,223,120,271,153
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,352,113,312,119,620,443,121,63
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,114,70,213,118,153,50,197,64
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,183,94,338,123,463,210,358,96
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,271,162,486,180,329,148,151,118
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,86,61,301,184,253,159,317,254
