GEO_ID,NAME,Less than 9th grade,Less than 9th grade_MOE,9th to 12th grade (no diploma),9th to 12th grade (no diploma)_MOE,High school graduate (includes equivalency),High school graduate (includes equivalency)_MOE,Some college (no degree),Some college (no degree)_MOE,Associate's degree,Associate's degree_MOE,Bachelor's degree,Bachelor's degree_MOE,Graduate or professional degree,Graduate or professional degree_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,27,34,70,78,430,301,292,245,33,35,39,41,69,48
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,19,28,16,25,755,175,2525,432,75,90,32,31,15,23
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,9,13,275,192,284,112,169,66,15,23,140,97,13,18
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,63,58,26,27,338,120,186,101,80,53,46,36,24,35
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,0,13,56,78,244,119,291,165,79,59,123,93,35,32
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,60,42,228,135,331,133,345,265,169,86,90,55,22,25
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,73,78,242,121,1172,642,206,106,169,163,115,80,45,59
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,46,70,47,57,389,274,166,122,51,45,102,77,75,58
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,17,20,152,100,319,156,411,130,144,77,379,260,114,61
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,0,13,26,43,112,100,180,114,15,25,92,97,12,22
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,84,74,91,72,344,144,373,163,308,189,513,262,222,86
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,2,3,95,54,200,73,159,83,55,44,114,59,38,27
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,7,10,113,72,117,75,333,275,72,51,69,53,64,68
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,38,38,82,59,334,239,111,48,19,25,89,47,30,19
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,45,55,44,63,233,113,196,86,65,72,164,210,35,29
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,14,22,12,22,89,65,221,94,72,46,93,43,43,29
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,35,44,15,19,237,159,322,138,84,50,55,39,33,40
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,16,18,65,43,164,114,198,153,64,55,66,42,56,39
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,2,5,6,10,79,62,91,59,51,47,89,55,28,31
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,54,49,90,56,169,74,265,118,131,153,240,192,67,42
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,4,8,83,82,166,76,164,92,114,88,174,86,32,28
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,8,14,283,240,172,95,321,127,35,47,22,36,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,11,20,88,73,56,48,79,62,15,26,69,59,57,64
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,10,22,69,59,98,82,291,160,149,132,330,180,58,62
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,23,30,129,91,245,119,359,165,138,127,413,143,92,52
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,23,31,321,241,321,165,404,223,33,54,97,54,26,24
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,65,65,17,28,101,86,122,96,147,131,339,176,128,90
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,0,13,44,64,103,65,281,119,84,66,297,225,64,63
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,13,84,121,178,214,282,193,35,56,157,102,196,128
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,16,25,0,13,151,126,199,157,88,94,392,191,181,114
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,0,13,324,445,186,77,267,94,62,43,364,127,202,92
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,10,19,67,56,207,77,145,76,42,37,139,55,67,43
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,10,16,16,24,175,115,279,135,54,39,576,162,232,91
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,7,13,64,106,290,151,408,174,44,34,308,122,116,56
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,80,79,156,118,175,117,207,111,201,267,105,76,33,32
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,0,13,54,84,95,86,34,54,31,39,44,64,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,59,45,200,115,281,207,125,94,191,224,30,51,36,55
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,0,13,190,281,302,218,476,217,44,46,153,75,32,37
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,0,13,60,72,291,148,526,277,46,50,174,123,89,57
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,0,13,0,13,158,122,250,176,36,42,0,13,9,15
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,3,6,96,57,361,182,762,222,160,75,376,136,65,37
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,43,37,35,33,201,97,329,135,311,218,647,128,460,82
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,0,13,204,176,327,241,91,88,102,98,674,345,203,132
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,0,13,0,13,79,52,270,123,112,71,242,130,89,68
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,0,13,0,13,197,148,436,297,32,58,127,107,53,54
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,29,36,18,28,231,163,305,233,230,153,45,61,45,54
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,26,42,14,22,243,133,149,90,97,106,231,153,350,192
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,21,26,23,38,447,279,246,105,46,45,458,300,329,244
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,31,38,0,13,301,177,664,327,33,35,99,66,24,31
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,22,26,61,82,343,174,1453,405,97,119,38,40,24,28
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,0,13,74,69,148,109,45,42,20,26,90,59,71,58
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,23,36,0,13,26,20,76,38,0,13,307,90,196,75
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,6,9,12,14,172,111,105,54,37,23,288,96,227,69
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,0,13,11,16,132,87,169,123,26,32,468,124,467,111
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,0,13,0,13,40,32,118,77,44,28,185,67,257,126
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,0,13,13,14,118,93,56,54,58,65,222,69,328,172
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,0,13,0,13,114,74,147,89,32,28,200,108,320,162
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,0,13,73,52,41,60,88,50,0,13,405,171,438,123
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,15,23,0,13,27,24,146,79,44,35,388,134,318,103
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,0,13,23,3,167,75,311,139,49,37,573,133,675,146
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,16,22,39,26,145,54,296,89,28,23,493,87,645,132
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,0,13,2,4,53,53,88,56,30,27,207,77,150,74
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,0,13,26,27,124,72,107,57,44,35,488,210,355,158
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,30,35,110,103,100,82,91,71,0,13,18,27,0,13
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,29,36,67,69,185,90,130,84,53,82,51,43,15,23
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,37,57,21,27,161,90,70,53,4,8,156,107,214,224
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,37,32,52,38,518,164,237,125,48,41,79,56,37,33
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,57,52,31,34,112,65,32,26,38,32,73,45,93,93
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,12,21,5,13,158,140,176,133,25,40,139,95,29,32
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,12,19,141,131,175,86,404,179,58,41,56,57,12,23
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,0,13,258,265,202,111,506,535,33,39,75,94,16,26
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,40,59,0,13,205,107,616,278,37,46,253,184,12,20
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,0,13,154,154,46,74,158,183,0,13,2,5,0,13
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,0,13,99,87,219,146,325,209,50,53,50,60,36,40
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,0,13,131,141,186,160,173,178,60,102,119,138,52,37
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,65,99,29,44,282,193,282,180,75,108,159,183,40,91
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,0,13,83,71,225,110,288,169,75,86,57,52,18,28
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,44,64,35,33,125,63,54,61,0,13,16,24,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,19,28,39,45,219,217,128,97,0,13,23,36,17,27
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,0,13,37,60,73,86,14,39,0,13,36,52,5,29
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,0,13,63,82,227,189,651,411,92,106,136,91,43,43
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,0,13,26,37,244,155,488,202,97,70,47,51,136,103
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,53,57,32,35,177,81,399,202,174,220,240,101,34,51
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,0,13,0,13,157,89,158,90,15,24,216,148,171,98
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,0,13,63,75,102,95,331,123,165,117,607,267,339,153
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,0,13,14,22,111,53,228,91,66,42,324,102,250,96
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,36,32,233,164,183,71,590,364,146,105,166,77,71,42
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,0,13,13,15,198,86,209,77,98,71,485,113,460,128
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,0,13,46,31,319,144,527,150,320,228,548,137,221,84
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,0,13,0,13,111,75,153,87,72,45,391,109,163,77
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,0,13,57,59,172,93,286,154,74,39,446,140,450,187
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,0,13,174,241,189,91,275,149,26,28,271,144,142,91
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,0,13,133,141,171,107,442,240,39,41,429,146,232,100
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,5,10,30,44,169,78,394,213,39,40,487,354,178,89
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,25,49,147,108,146,72,354,161,150,73,458,201,133,89
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,49,75,95,61,439,182,521,194,210,121,571,157,173,93
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,0,13,0,13,214,144,124,81,15,25,204,127,38,41
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,10,16,20,22,360,273,276,111,244,117,655,248,262,105
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,25,27,24,25,171,124,325,118,62,42,668,218,426,105
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,0,13,25,34,301,166,194,74,72,55,216,82,82,45
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,36,47,25,31,178,73,174,68,51,35,322,214,141,93
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,0,13,0,13,82,35,129,57,69,40,509,226,287,68
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,0,13,36,30,151,66,110,49,127,91,222,69,185,66
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,23,28,58,52,271,219,202,83,114,88,272,98,145,76
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,0,13,39,38,152,71,184,97,137,110,649,146,417,101
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,0,13,7,14,91,45,128,68,70,39,238,98,105,66
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,17,28,52,63,219,113,273,169,51,48,256,178,28,37
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,0,13,84,115,28,33,96,51,20,31,291,104,276,140
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,0,13,12,19,98,70,162,119,62,55,196,126,127,81
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,10,20,115,89,149,114,183,88,81,54,309,162,230,112
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,0,13,17,16,186,98,561,294,39,32,776,323,477,237
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,5,11,123,86,161,92,215,143,71,51,67,52,0,13
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,72,83,200,114,368,198,489,295,71,58,72,70,27,27
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,177,72,710,148,730,143,554,125,68,58,451,134,239,81
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,16,22,100,104,110,54,19,14,23,26,167,73,110,62
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,29,67,45,43,99,78,174,94,67,55,356,133,192,81
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,0,13,219,129,825,241,322,153,80,72,220,112,45,44
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,63,82,64,68,286,147,359,271,0,13,217,117,100,92
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,24,29,138,120,259,153,430,271,30,30,178,136,52,65
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,5,14,97,92,245,134,488,341,181,132,614,311,264,126
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,109,174,68,62,942,328,347,217,142,95,710,263,151,113
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,19,29,49,48,661,373,344,176,92,55,744,444,98,60
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,0,13,0,13,494,180,464,180,217,120,452,172,140,92
