GEO_ID,NAME,Income (past 12 months) below poverty level,Income (past 12 months) below poverty level_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,273,141
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,220,226
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,311,183
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,90,77
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,169,129
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,419,218
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,484,330
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,270,259
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,174,114
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,12,19
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,28,32
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,123,54
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,111,95
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,89,60
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,77,80
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,109,87
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,31,51
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,26,19
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,52,59
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,66,40
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,154,96
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,383,166
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,11,18
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,121,91
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,217,104
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,247,109
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,44,50
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,67,107
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,314,434
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,88,95
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,104,71
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,25,26
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,77,52
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,111,84
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,175,126
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,173,117
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,416,168
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,265,214
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,325,148
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,243,236
