GEO_ID,NAME,Food Stamps/SNAP,Food Stamps/SNAP_MOE,Food Stamps/SNAP (1 or more disabled),Food Stamps/SNAP (1 or more disabled)_MOE,Food Stamps/SNAP (No disabled),Food Stamps/SNAP (No disabled)_MOE,No Food Stamps/SNAP (1 or more disabled),No Food Stamps/SNAP (1 or more disabled)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,125,71,95,61,30,35,84,52
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,69,49,45,50,24,21,81,109
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,147,173,0,13,147,173,163,78
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,113,81,63,51,50,64,146,88
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,67,51,28,33,39,48,86,60
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,274,154,122,88,152,130,158,82
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,234,184,79,119,155,131,267,109
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,362,273,267,250,95,106,87,75
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,86,66,63,62,23,33,90,53
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,54,57,54,57,0,13,43,41
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,79,60,46,43,33,41,374,221
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,121,32,34,30,87,35,100,58
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,56,45,23,23,33,38,118,69
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,107,64,82,63,25,24,120,60
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,60,61,51,61,9,10,76,35
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,10,12,4,8,6,8,70,31
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,45,40,12,14,33,39,100,69
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,9,15,0,13,9,15,56,35
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,46,45,22,26,24,35,96,51
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,40,29,19,16,21,25,142,82
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,55,37,17,16,38,35,71,31
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,276,111,164,93,112,69,99,94
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,29,45,29,45,0,13,81,62
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,107,92,30,48,77,88,113,70
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,62,48,54,47,8,13,226,113
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,206,148,66,60,140,143,336,127
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,237,163
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,29,41,20,33,9,23,53,51
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,213,124
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,64,102,64,102,0,13,137,102
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,0,13,0,13,0,13,115,55
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,25,25,0,13,25,25,112,53
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,20,22,10,16,10,16,208,72
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,70,61,70,61,0,13,98,65
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,87,46,22,23,65,45,47,43
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,137,80,18,29,119,81,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,382,154,143,110,239,126,32,40
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,0,13,0,13,0,13,135,74
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,119,99,21,23,98,98,72,57
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,70,76,70,76,0,13,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,158,128,16,19,142,126,139,59
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,24,18,0,13,24,18,185,59
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,128,152,0,13,128,152,156,97
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,0,13,0,13,0,13,70,58
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,7,11,7,11,0,13,37,42
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,0,13,0,13,0,13,106,123
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,6,10,6,10,0,13,195,110
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,155,84,49,37,106,77,191,93
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,0,13,0,13,0,13,55,42
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,38,48,0,13,38,48,16,22
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,13,16,4,6,9,13,60,59
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,0,13,0,13,0,13,109,57
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,6,9,6,9,0,13,117,73
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,7,11,0,13,7,11,66,36
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,0,13,0,13,0,13,104,99
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,0,13,0,13,0,13,74,39
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,16,24,0,13,16,24,58,51
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,0,13,0,13,0,13,85,60
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,0,13,0,13,0,13,88,43
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,7,10,7,10,0,13,249,71
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,0,13,0,13,0,13,176,52
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,0,13,0,13,0,13,64,51
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,0,13,0,13,0,13,95,48
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,184,126,107,102,77,84,44,40
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,173,108,126,93,47,51,126,92
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,145,95,93,87,52,55,84,46
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,83,60,37,33,46,50,163,69
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,59,50,40,46,19,20,16,16
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,94,105,30,35,64,99,35,35
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,303,135,243,145,60,70,115,65
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,159,245,159,245,0,13,147,79
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,0,13,0,13,0,13,206,117
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,117,173,22,36,95,169,77,107
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,224,134,67,74,157,110,79,64
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,126,145,126,145,0,13,310,215
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,40,64,0,13,40,64,179,112
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,214,120,214,120,0,13,38,42
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,244,122,36,36,208,116,68,53
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,116,131,77,113,39,59,24,38
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,84,50,15,27,69,56,36,31
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,88,97,0,13,88,97,218,153
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,100,132,0,13,100,132,81,74
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,35,32,25,28,10,15,95,70
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,0,13,0,13,0,13,74,42
