GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,368,202
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,1137,308
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,500,143
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,349,128
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,447,204
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,574,225
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,945,304
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,313,126
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,1022,316
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,273,147
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,973,310
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,356,125
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,500,236
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,247,95
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,530,256
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,280,94
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,538,240
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,458,242
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,423,164
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,643,300
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,468,189
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,470,185
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,232,124
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,572,187
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,704,201
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,536,375
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,393,181
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,309,197
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,440,231
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,399,210
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1125,466
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,390,115
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,836,219
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,837,229
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,441,153
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,135,113
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,589,291
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,620,198
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,820,298
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,337,185
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1314,261
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,1279,260
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,1219,371
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,517,202
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,704,352
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,693,250
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,511,273
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1024,515
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,481,203
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,660,227
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,501,369
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,285,97
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,447,113
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,761,173
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,496,202
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,297,140
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,482,202
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,395,146
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,494,138
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,750,148
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,822,101
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,350,150
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,780,309
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,72,78
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,535,354
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,318,116
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,541,169
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,227,98
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,350,200
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,652,301
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,306,159
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,792,275
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,359,275
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,393,208
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,302,271
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,657,406
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,563,240
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,264,119
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,500,237
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,256,187
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,705,325
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,766,231
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,572,251
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,374,157
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,926,333
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,425,103
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,608,175
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,666,136
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,1008,161
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,408,119
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,725,151
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,691,307
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,849,280
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,819,406
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,647,249
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,1201,282
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,378,175
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,1048,282
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,842,207
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,479,170
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,575,236
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,456,108
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,423,127
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,517,185
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,832,199
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,383,112
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,471,194
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,426,146
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,332,130
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,267,129
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,955,298
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,290,164
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,686,337
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,429,151
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,245,82
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,407,131
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,1081,300
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,416,175
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,622,268
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,1051,366
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,1483,396
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,1013,462
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,1279,300
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,636,293
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,922,194
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,1056,261
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,873,249
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,962,330
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,332,189
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,443,171
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,604,233
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,823,293
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,618,226
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,735,214
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,760,308
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,500,201
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,604,265
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,855,358
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,353,140
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,812,350
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,1820,921
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,583,146
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,820,374
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,502,292
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,595,312
