GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,93,58
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,20,14
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,242,60
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,290,82
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,261,65
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,240,86
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,764,193
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,302,117
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,603,155
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,171,85
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,725,240
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,249,66
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,225,79
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,347,134
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,197,68
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,243,57
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,354,125
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,204,72
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,234,58
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,314,93
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,257,65
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,31,30
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,171,85
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,373,138
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,489,130
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,70,65
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,533,180
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,359,147
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,302,157
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,547,194
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,277,79
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,328,80
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,546,138
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,432,154
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,431,264
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,93,91
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,17,26
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,186,79
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,414,105
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,875,161
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,36,27
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,103,45
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,127,80
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,132,88
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,396,132
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,251,114
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,117,52
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,88,58
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,194,94
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,334,80
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,470,100
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,594,108
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,341,129
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,420,110
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,433,151
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,550,186
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,412,86
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,590,80
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,815,94
