GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,1015,549
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,3624,436
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,1032,334
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,798,201
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,928,298
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,1245,415
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,2090,740
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,916,359
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,2055,496
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,537,284
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,1996,557
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,686,151
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,775,355
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,710,262
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,864,295
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,610,146
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,1042,483
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,649,271
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,665,149
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,1075,388
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,815,226
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,883,331
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,469,223
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,1028,279
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,1399,306
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,1257,432
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,919,294
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,898,355
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,932,569
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,1079,347
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1424,481
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,701,171
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1379,290
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,1255,302
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,1084,332
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,258,119
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,922,341
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,1271,517
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,1236,339
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,648,340
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1927,286
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2172,284
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,1733,381
