GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,960,532
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,3437,434
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,905,234
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,763,183
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,828,264
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,1245,415
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,2022,726
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,876,346
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,1536,393
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,437,205
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,1935,546
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,663,145
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,775,355
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,703,260
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,782,276
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,544,140
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,781,262
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,629,274
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,346,134
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,1016,357
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,737,206
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,841,330
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,375,171
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,1005,276
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,1399,306
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,1225,422
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,919,294
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,873,360
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,932,569
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,1027,334
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1405,480
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,677,166
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1342,286
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,1237,300
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,957,322
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,258,119
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,922,341
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,1197,514
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,1186,330
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,453,260
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1823,297
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2026,267
