GEO_ID,NAME,Total,Total_MOE
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,1235,468
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,819,232
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,1742,291
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,820,168
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,1915,675
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,1064,372
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,1563,387
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2681,416
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,2432,860
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,1841,591
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,3074,706
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,1803,438
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,467,119
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,1167,807
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,1295,538
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,1195,382
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,1204,472
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,1609,635
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,699,177
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,1989,297
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,1366,524
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,1402,339
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,2087,266
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,1672,519
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,1002,587
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,2287,523
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,2340,410
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,429,243
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,1007,315
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,1092,362
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,2081,722
