GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,382,206
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,1215,342
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,514,140
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,362,129
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,536,213
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,574,225
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,978,312
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,338,131
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,1146,315
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,291,145
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,1025,316
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,379,131
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,500,236
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,270,104
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,531,256
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,312,88
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,563,243
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,458,242
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,434,164
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,652,299
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,476,190
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,515,187
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,232,124
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,630,207
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,778,184
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,547,376
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,393,181
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,488,277
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,487,237
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,652,212
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1194,465
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,448,120
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1072,262
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,937,240
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,472,148
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,135,113
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,589,291
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,677,201
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,859,308
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,337,185
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1383,275
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,1572,266
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,1286,393
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,634,202
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,808,412
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,729,254
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,699,300
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1070,523
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,522,214
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,819,234
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,562,371
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,376,121
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,572,136
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,886,178
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,554,208
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,395,204
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,584,216
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,566,179
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,598,151
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,889,133
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,981,113
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,411,157
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,971,326
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,72,78
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,561,350
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,318,116
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,591,179
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,240,100
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,455,270
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,670,301
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,306,159
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,824,280
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,359,275
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,477,243
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,302,271
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,723,444
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,582,236
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,281,128
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,500,237
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,256,187
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,1008,562
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,773,231
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,623,261
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,456,176
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,1035,355
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,517,126
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,928,386
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,738,137
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,1120,176
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,465,123
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,868,167
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,783,312
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,916,273
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,873,402
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,763,256
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,1515,300
