GEO_ID,NAME,Less than 5 minutes,Less than 5 minutes_MOE,5 to 9 minutes,5 to 9 minutes_MOE,10 to 14 minutes,10 to 14 minutes_MOE,15 to 19 minutes,15 to 19 minutes_MOE,20 to 24 minutes,20 to 24 minutes_MOE,25 to 29 minutes,25 to 29 minutes_MOE,30 to 34 minutes,30 to 34 minutes_MOE,35 to 39 minutes,35 to 39 minutes_MOE,40 to 44 minutes,40 to 44 minutes_MOE,45 to 59 minutes,45 to 59 minutes_MOE,60 to 89 minutes,60 to 89 minutes_MOE,90 or more minutes,90 or more minutes_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,18,22,8,32,43,40,114,156,55,61,17,21,105,76,0,13,0,13,8,13,0,13,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,138,109,257,148,239,117,231,146,22,34,128,130,112,81,0,13,0,13,0,13,10,24,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,0,13,86,60,100,63,126,84,66,54,2,4,91,73,0,13,0,13,14,18,15,24,0,13
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,0,13,15,21,89,70,102,82,74,63,24,29,13,20,13,20,0,13,19,30,0,13,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,0,13,19,25,91,80,126,77,81,70,11,18,104,105,0,13,15,23,0,13,0,13,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,14,22,78,96,53,59,191,116,185,113,0,13,17,27,0,13,0,13,36,50,0,13,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,0,13,13,20,164,121,173,108,256,123,73,80,230,265,0,13,0,13,36,44,0,13,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,3,5,55,52,0,13,96,78,24,25,0,13,55,62,33,55,0,13,47,40,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,0,13,76,77,142,99,206,109,330,217,53,42,100,96,0,13,0,13,70,101,18,26,27,61
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,12,22,0,13,93,84,13,20,17,29,0,13,138,123,0,13,0,13,0,13,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,0,13,19,24,220,120,232,107,156,85,218,174,77,55,22,34,7,12,0,13,0,13,22,36
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,0,13,47,29,51,39,119,78,56,33,8,10,38,26,0,13,0,13,18,20,0,13,19,21
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,0,13,42,54,81,73,88,60,65,48,84,112,82,60,0,13,0,13,48,53,0,13,10,14
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,0,13,3,7,23,28,55,35,50,47,22,28,20,18,25,41,5,9,17,18,21,23,6,9
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,0,13,13,12,146,89,36,26,246,217,4,6,85,76,0,13,0,13,0,13,0,13,0,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,0,13,35,34,50,48,109,64,59,39,6,14,6,9,8,13,7,12,0,13,0,13,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,0,13,99,58,102,66,220,168,16,17,66,95,25,29,10,11,0,13,0,13,0,13,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,0,13,9,14,182,98,163,128,27,38,0,13,30,43,30,69,9,14,0,13,8,12,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,0,13,114,43,36,33,105,80,23,31,122,62,0,13,6,12,0,13,0,13,17,27,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,12,19,32,24,145,84,307,279,97,75,12,15,29,33,4,9,0,13,0,13,5,7,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,0,13,103,78,70,48,134,80,82,55,32,35,37,40,0,13,0,13,0,13,10,16,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,145,116,53,66,2,4,23,27,61,65,0,13,137,125,0,13,0,13,17,31,32,44,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,0,13,38,52,0,13,96,69,98,71,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,39,64,77,76,77,73,186,90,30,41,105,97,45,54,0,13,0,13,0,13,13,23,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,0,13,86,76,155,111,202,124,114,73,60,71,53,49,0,13,0,13,0,13,34,43,0,13
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,0,13,143,95,227,209,39,52,103,141,0,13,0,13,0,13,24,39,0,13,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,0,13,23,36,85,94,168,146,54,68,43,66,14,24,0,13,0,13,0,13,0,13,6,14
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,0,13,25,32,79,72,133,108,32,38,0,13,21,38,0,13,19,35,0,13,0,13,0,13
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,13,163,177,45,56,178,136,40,38,0,13,14,24,0,13,0,13,0,13,0,13,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,0,13,0,13,24,31,69,101,106,87,0,13,110,85,8,13,7,13,75,89,0,13,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,30,33,62,45,427,283,116,58,166,76,72,80,224,212,0,13,8,14,20,23,0,13,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,0,13,59,53,53,41,109,75,42,30,82,48,14,16,16,17,0,13,0,13,0,13,15,22
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,46,48,178,87,154,81,211,98,159,103,13,21,21,26,14,23,0,13,40,37,0,13,0,13
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,12,19,156,90,192,88,279,157,95,62,45,50,33,29,0,13,0,13,25,27,0,13,0,13
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,18,27,29,46,150,99,154,75,28,35,62,54,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,0,13,0,13,77,92,20,32,0,13,34,54,0,13,0,13,0,13,4,7,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,26,39,52,64,52,82,150,145,157,123,72,75,0,13,0,13,14,31,66,101,0,13,0,13
