GEO_ID,NAME,No Vehicles (Total),No Vehicles (Total)_MOE,No Vehicle Available (Owner occupied),No Vehicle Available (Owner occupied)_MOE,No Vehicle Available (Renter occupied),No Vehicle Available (Renter occupied)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,46,48.76474136,0,13,46,47
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,122,118.7139419,0,13,122,118
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,24,31.04834939,4,8,20,30
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,8,19.10497317,8,14,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,7,17.02938637,7,11,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,32,34.53983208,32,32,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,14,25.55386468,0,13,14,22
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,19,31.78049716,0,13,19,29
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,31,31.2409987,18,24,13,20
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,9,19.84943324,0,13,9,15
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,34,41.10960958,34,39,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,10,13.60147051,2,4,8,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,45,59.43904441,0,13,45,58
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,48,46.40043103,24,37,24,28
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,11,22.20360331,11,18,0,13
